Category, Target Examples
Geographical Locations, Mount Everest, Nile River, Niagara Falls, Sahara Desert, Amazon Rainforest, Mammoth Cave, Golden Gate Bridge, Eiffel Tower, Hoover Dam, Statue of Liberty, Great Wall of China, Tokyo, Venice, Machu Picchu, Great Barrier Reef, Titanic Wreck, Mariana Trench, Mars, Moon, International Space Station
Historical Events, Construction of the Pyramids, Battle of Thermopylae, Signing of the Declaration of Independence, Fall of the Berlin Wall, First Moon Landing
Famous People, Albert Einstein, Cleopatra, Leonardo da Vinci, Mahatma Gandhi, Nelson Mandela
Mysteries and Legends, Bermuda Triangle, Loch Ness Monster, Atlantis, Stonehenge, Area 51
Art and Culture, Mona Lisa, Beethoven's Symphony No. 9, Shakespeare's Globe Theatre, The Louvre Museum, Sydney Opera House
Natural Disasters, 2004 Indian Ocean Tsunami, 1906 San Francisco Earthquake, 1980 Mount St. Helens Eruption, Hurricane Katrina, 2011 Tōhoku Earthquake and Tsunami
Technological Innovations, First Flight by the Wright Brothers, Invention of the Telephone, Launch of Sputnik, Development of the Internet, First Heart Transplant
Unsolved Crimes, Jack the Ripper, The Zodiac Killer, D.B. Cooper, The Black Dahlia, The Gardner Museum Heist
Futuristic Scenarios, Colonization of Mars, Rise of AI, Global Climate Change in 2100, Underwater Cities, Space Tourism
Sports Events, 1966 World Cup Final, 1992 Olympic Games, Super Bowl XLIX, 2008 Beijing Olympics, 2014 FIFA World Cup Final
Scientific Discoveries, Discovery of Penicillin, Structure of DNA, Higgs Boson Discovery, Theory of Relativity, Mapping the Human Genome
Everyday Objects, Old Pocket Watch, Classic Car, Antique Vase, Vintage Book, Rare Coin
Animals, Bengal Tiger, Blue Whale, African Elephant, Giant Panda, Peregrine Falcon
Food and Cuisine, French Baguette, Italian Pizza, Japanese Sushi, Indian Curry, Mexican Tacos
Events in Nature, Northern Lights, Great Migration in Serengeti, Coral Spawning, Monarch Butterfly Migration, Solar Eclipse
